"Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
2008,1,1,2,120,1935,309,2130,"9E",5746,"84129E",109,115,88,339,345,"MEM","AUS",559,3,18,0,"",0,339,0,0,0,0
2008,1,1,2,555,600,826,835,"AA",1614,"N438AA",151,155,133,-9,-5,"AUS","ORD",978,7,11,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,600,600,728,729,"YV",2883,"N922FJ",148,149,125,-1,0,"AUS","PHX",872,7,16,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,601,605,727,750,"9E",5743,"89189E",86,105,70,-23,-4,"AUS","MEM",559,4,12,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,601,600,654,700,"AA",1157,"N4XAAA",53,60,38,-6,1,"AUS","DFW",190,5,10,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,636,645,934,932,"NW",1674,"N967N",178,167,145,2,-9,"AUS","MSP",1042,11,22,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,646,655,735,750,"CO",340,"N14604",49,55,28,-15,-9,"AUS","IAH",140,6,15,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,650,700,841,857,"XE",541,"N18557",111,117,94,-16,-10,"MCI","AUS",650,6,11,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,650,650,1139,1145,"AA",1182,"N4WAAA",169,175,153,-6,0,"LAX","AUS",1242,4,12,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,654,700,1117,1133,"B6",1060,"N238JB",203,213,177,-16,-6,"AUS","JFK",1522,13,13,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,712,705,805,805,"AA",652,"N432AA",53,60,36,0,7,"AUS","DFW",190,6,11,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,715,715,826,832,"XE",519,"N11194",71,77,56,-6,0,"AUS","MSY",445,5,10,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,722,726,819,825,"CO",1573,"N69351",57,59,28,-6,-4,"AUS","IAH",140,13,16,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,725,730,844,901,"XE",303,"N13553",139,151,121,-17,-5,"AUS","TUS",797,4,14,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,735,740,1007,1010,"WN",3098,"N750SA",152,150,123,-3,-5,"AUS","MDW",972,15,14,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,736,740,838,840,"AA",1958,"N526AA",62,60,38,-2,-4,"AUS","DFW",190,13,11,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,737,745,924,943,"UA",657,"N817UA",227,238,203,-19,-8,"AUS","SFO",1504,3,21,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,745,755,859,905,"AA",1465,"N4XPAA",194,190,179,-6,-10,"AUS","SNA",1209,4,11,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,748,755,1007,1020,"WN",61,"N609SW",79,85,68,-13,-7,"ELP","AUS",528,3,8,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,753,755,1137,1125,"B6",1061,"N179JB",284,270,257,12,-2,"JFK","AUS",1522,4,23,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,755,700,854,821,"XE",1,"N12166",179,201,163,33,55,"AUS","ONT",1197,4,12,0,"",0,33,0,0,0,0
2008,1,1,2,755,800,1018,1010,"OO",4009,"N368CA",203,190,171,8,-5,"AUS","SLC",1085,18,14,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,809,815,859,912,"CO",440,"N17229",50,57,31,-13,-6,"AUS","IAH",140,5,14,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,811,815,1048,1100,"AA",1199,"N491AA",157,165,139,-12,-4,"ORD","AUS",978,4,14,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,819,825,943,947,"UA",1190,"N374UA",144,142,129,-4,-6,"AUS","DEN",775,5,10,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,819,820,944,1003,"XE",511,"N11544",85,103,74,-19,-1,"MSY","AUS",445,4,7,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,822,810,1255,1250,"WN",297,"N723SW",153,160,139,5,12,"SAN","AUS",1164,4,10,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,823,825,916,920,"CO",1583,"N59338",53,55,28,-4,-2,"IAH","AUS",140,5,20,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,825,830,1128,1136,"OH",5124,"N692CA",123,126,93,-8,-5,"AUS","ATL",813,8,22,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,827,830,958,1009,"EV",4677,"N977EV",151,159,131,-11,-3,"ATL","AUS",813,3,17,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,832,800,929,900,"AA",1109,"N404AA",57,60,36,29,32,"DFW","AUS",190,4,17,0,"",0,29,0,0,0,0
2008,1,1,2,834,835,936,935,"AA",450,"N406AA",62,60,35,1,-1,"AUS","DFW",190,13,14,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,837,840,1008,1014,"US",435,"N158AW",151,154,130,-6,-3,"AUS","PHX",872,9,12,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,840,842,1138,1118,"YV",7273,"N509MJ",238,216,218,20,-2,"IAD","AUS",1297,4,16,0,"",0,0,0,20,0,0
2008,1,1,2,846,850,1317,1330,"WN",3222,"N639SW",151,160,136,-13,-4,"LAS","AUS",1090,4,11,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,850,850,957,1010,"AA",379,"N455AA",187,200,173,-13,0,"AUS","LAX",1242,4,10,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,851,855,1119,1109,"XE",2252,"N27152",208,194,185,10,-4,"CLE","AUS",1174,5,18,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,857,900,946,1000,"AA",1743,"N3CFAA",49,60,35,-14,-3,"AUS","DFW",190,5,9,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,858,905,1053,1100,"OO",2930,"N507CA",115,115,92,-7,-7,"MCI","AUS",650,6,17,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,903,900,952,1000,"WN",2677,"N496WN",169,180,151,-8,3,"AUS","LAS",1090,7,11,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,907,915,1003,1013,"CO",640,"N79402",56,58,30,-10,-8,"AUS","IAH",140,9,17,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,909,915,1205,1210,"WN",3481,"N704SW",236,235,224,-5,-6,"BWI","AUS",1342,5,7,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,912,850,1305,1235,"B6",1263,"N273JB",293,285,268,30,22,"BOS","AUS",1698,3,22,0,"",0,10,0,8,0,12
2008,1,1,2,921,920,1019,1030,"WN",2949,"N611SW",178,190,163,-11,1,"AUS","SAN",1164,3,12,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,922,925,1016,1032,"XE",311,"N18557",114,127,100,-16,-3,"AUS","ABQ",619,4,10,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,923,923,1111,1119,"NW",1728,"N605NW",108,116,93,-8,0,"MEM","AUS",559,3,12,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,923,925,1014,1025,"AA",421,"N526AA",51,60,37,-11,-2,"DFW","AUS",190,2,12,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,926,925,1307,1325,"WN",3489,"N462WN",161,180,141,-18,1,"AUS","BWI",1342,10,10,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,926,850,1402,1332,"XE",2,"N12166",156,162,144,30,36,"ONT","AUS",1197,5,7,0,"",0,10,0,0,0,20
2008,1,1,2,941,945,1042,1050,"WN",1021,"N247WN",61,65,48,-8,-4,"LBB","AUS",341,5,8,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,942,945,1116,1130,"WN",2985,"N795SW",154,165,141,-14,-3,"TPA","AUS",928,3,10,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,957,1000,1053,1057,"CO",1572,"N59338",56,57,32,-4,-3,"AUS","IAH",140,10,14,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1001,955,1124,1130,"WN",513,"N505SW",143,155,126,-6,6,"AUS","PHX",872,8,9,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1001,1010,1045,1100,"MQ",3355,"N658AE",44,50,34,-15,-9,"DAL","AUS",189,3,7,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1001,1004,1058,1101,"CO",441,"N19621",57,57,27,-3,-3,"IAH","AUS",140,6,24,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1006,1005,1236,1235,"AA",368,"N4WTAA",150,150,131,1,1,"AUS","ORD",978,8,11,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1007,945,1109,1045,"AA",511,"N404AA",62,60,34,24,22,"AUS","DFW",190,15,13,0,"",0,0,0,2,0,22
2008,1,1,2,1016,1015,1501,1505,"WN",304,"N638SW",165,170,153,-4,1,"LAX","AUS",1242,4,8,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1023,1030,1219,1221,"XE",532,"N11544",116,111,101,-2,-7,"AUS","MCI",650,3,12,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1024,1025,1330,1344,"EV",4324,"N707EV",126,139,112,-14,-1,"AUS","CVG",958,5,9,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1028,1030,1344,1352,"US",225,"N155AW",136,142,108,-8,-2,"PHX","AUS",872,4,24,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1035,1035,1336,1343,"EV",4338,"N977EV",121,128,95,-7,0,"AUS","ATL",813,9,17,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1045,1050,1137,1145,"WN",61,"N609SW",52,55,39,-8,-5,"AUS","DAL",189,2,11,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1045,1050,1149,1155,"AA",2024,"N474AA",64,65,38,-6,-5,"AUS","DFW",190,10,16,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1054,1055,1136,1140,"WN",2577,"N738CB",42,45,32,-4,-1,"AUS","HOU",148,2,8,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1055,1105,1329,1349,"XE",531,"N18557",94,104,82,-20,-10,"ABQ","AUS",619,5,7,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1058,1100,1155,1157,"CO",741,"N14653",57,57,28,-2,-2,"IAH","AUS",140,5,24,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1059,1040,1150,1140,"AA",1477,"N533AA",51,60,33,10,19,"DFW","AUS",190,3,15,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1105,1115,1226,1229,"F9",215,"N805FR",141,134,126,-3,-10,"AUS","DEN",775,5,10,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1105,1105,1406,1420,"WN",1105,"N614SW",121,135,107,-14,0,"PHX","AUS",872,3,11,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1107,1110,1219,1230,"AA",813,"N526AA",192,200,170,-11,-3,"AUS","LAX",1242,12,10,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1118,1125,1206,1220,"MQ",3488,"N658AE",48,55,37,-14,-7,"AUS","DAL",189,2,9,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1120,1120,1208,1220,"WN",1838,"N247WN",168,180,154,-12,0,"AUS","LAS",1090,5,9,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1129,1130,1321,1320,"OO",2931,"N507CA",112,110,94,1,-1,"AUS","MCI",650,5,13,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1129,1130,1226,1230,"AA",1717,"N484AA",57,60,35,-4,-1,"DFW","AUS",190,4,18,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1130,1115,1703,1553,"OH",5202,"N679CA",273,218,209,70,15,"AUS","JFK",1522,48,16,0,"",0,15,0,55,0,0
2008,1,1,2,1133,1120,1356,1345,"WN",3152,"N301SW",83,85,71,11,13,"ELP","AUS",528,5,7,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1135,1135,1221,1225,"WN",501,"N527SW",46,50,35,-4,0,"DAL","AUS",189,4,7,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1136,1140,1413,1415,"AA",2486,"N491AA",157,155,136,-2,-4,"AUS","ORD",978,4,17,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1147,1150,1535,1535,"XE",2366,"N27152",168,165,151,0,-3,"AUS","CLE",1174,6,11,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1155,1200,1327,1344,"NW",1727,"N605NW",92,104,74,-17,-5,"AUS","MEM",559,5,13,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1200,1200,1308,1325,"WN",2985,"N795SW",188,205,170,-17,0,"AUS","LAX",1242,8,10,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1206,1152,1555,1559,"YV",7276,"N509MJ",169,187,148,-4,14,"AUS","IAD",1297,7,14,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1206,1136,1739,1701,"UA",374,"N834UA",213,205,185,38,30,"SFO","AUS",1504,5,23,0,"",0,21,0,8,0,9
2008,1,1,2,1209,1210,1259,1300,"WN",122,"N430WN",50,50,39,-1,-1,"AUS","DAL",189,2,9,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1209,1210,1356,1410,"XE",308,"N11194",167,180,149,-14,-1,"JAX","AUS",954,4,14,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1214,1205,1628,1647,"B6",1062,"N179JB",194,222,166,-19,9,"AUS","JFK",1522,10,18,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1224,1220,1553,1605,"AA",1198,"N4WAAA",149,165,126,-12,4,"AUS","RDU",1162,11,12,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1225,1232,1320,1329,"CO",1758,"N19621",55,57,32,-9,-7,"AUS","IAH",140,8,15,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1226,1215,1739,1735,"AA",1024,"N530AA",193,200,180,4,11,"SJC","AUS",1476,3,10,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1228,1225,1525,1530,"DL",466,"N901DE",117,125,98,-5,3,"AUS","ATL",813,9,10,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1235,1235,1348,1335,"AA",668,"N552AA",73,60,36,13,0,"DFW","AUS",190,4,33,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1236,1140,1717,1630,"CO",251,"N16648",221,230,177,47,56,"AUS","EWR",1504,8,36,0,"",0,0,0,47,0,0
2008,1,1,2,1239,1240,1316,1320,"WN",3481,"N704SW",97,100,78,-4,-1,"AUS","ELP",528,9,10,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1241,1230,1512,1515,"AA",1545,"N580AA",151,165,136,-3,11,"ORD","AUS",978,3,12,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1243,1225,1339,1325,"AA",1526,"N533AA",56,60,38,14,18,"AUS","DFW",190,8,10,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1243,1240,1716,1720,"WN",155,"N394SW",153,160,133,-4,3,"LAS","AUS",1090,5,15,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1244,1245,1329,1340,"MQ",3412,"N649PP",45,55,33,-11,-1,"DAL","AUS",189,3,9,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1248,1250,1346,1350,"WN",501,"N527SW",58,60,47,-4,-2,"AUS","HRL",273,3,8,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1250,1300,1344,1357,"CO",1540,"N14653",54,57,33,-13,-10,"AUS","IAH",140,7,14,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1302,1300,1436,1438,"OO",1991,"N806SK",154,158,134,-2,2,"ATL","AUS",813,5,15,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1308,1316,1614,1638,"US",227,"N311AW",126,142,108,-24,-8,"PHX","AUS",872,4,14,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1309,1305,1800,1805,"AA",1308,"N565AA",171,180,151,-5,4,"LAX","AUS",1242,7,13,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1316,1300,1504,1500,"WN",1885,"N688SW",168,180,151,4,16,"MCO","AUS",993,3,14,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1317,1320,1626,1645,"WN",297,"N723SW",129,145,114,-19,-3,"AUS","MCO",993,6,9,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1320,1310,1526,1508,"OH",5339,"N709CA",186,178,155,18,10,"CVG","AUS",958,7,24,0,"",0,10,0,8,0,0
2008,1,1,2,1334,1335,1700,1649,"B6",1065,"N265JB",266,254,246,11,-1,"JFK","AUS",1522,3,17,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1337,1315,1806,1804,"B6",1264,"N273JB",209,229,183,2,22,"AUS","BOS",1698,5,21,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1340,1342,1715,1725,"OO",4052,"N668CA",155,163,128,-10,-2,"SLC","AUS",1085,5,22,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1341,1325,1435,1425,"AA",418,"N484AA",54,60,39,10,16,"AUS","DFW",190,7,8,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1347,1330,1433,1415,"WN",2124,"N364SW",46,45,28,18,17,"HOU","AUS",148,4,14,0,"",0,4,0,1,0,13
2008,1,1,2,1350,1345,1637,1645,"WN",1856,"N483WN",107,120,92,-8,5,"DEN","AUS",775,4,11,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1354,1355,1445,1445,"WN",303,"N639SW",51,50,38,0,-1,"AUS","DAL",189,2,11,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1355,1346,1451,1439,"CO",241,"N59630",56,53,29,12,9,"IAH","AUS",140,6,21,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1401,1315,1640,1600,"YV",7415,"N511MJ",159,165,132,40,46,"ORD","AUS",978,4,23,0,"",0,0,0,0,0,40
2008,1,1,2,1403,1350,1621,1615,"WN",813,"N404WN",138,145,124,6,13,"BNA","AUS",756,3,11,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1404,1405,1456,1500,"MQ",3503,"N649PP",52,55,40,-4,-1,"AUS","DAL",189,3,9,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1406,1410,1606,1625,"AA",1563,"N4XMAA",120,135,101,-19,-4,"STL","AUS",722,7,12,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1410,1415,1503,1515,"WN",1417,"N527SW",53,60,44,-12,-5,"HRL","AUS",273,3,6,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1421,1415,1513,1515,"AA",422,"N552AA",52,60,36,-2,6,"AUS","DFW",190,7,9,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1422,1430,1538,1547,"XE",612,"N18557",76,77,59,-9,-8,"AUS","MSY",445,5,12,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1424,1425,1757,1744,"CO",317,"N14601",273,259,251,13,-1,"EWR","AUS",1504,6,16,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1427,1415,1809,1815,"WN",3152,"N301SW",162,180,149,-6,12,"AUS","BWI",1342,4,9,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1427,1400,1516,1450,"WN",700,"N661SW",49,50,36,26,27,"DAL","AUS",189,3,10,0,"",0,5,0,0,0,21
2008,1,1,2,1428,1405,1648,1650,"AA",1053,"N481AA",140,165,125,-2,23,"ORD","AUS",978,4,11,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1429,1400,1542,1515,"XE",2,"N12166",73,75,55,27,29,"AUS","OKC",358,6,12,0,"",0,0,0,0,0,27
2008,1,1,2,1430,1430,1528,1525,"MQ",3446,"N655AE",58,55,35,3,0,"DAL","AUS",189,5,18,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1430,1430,1533,1524,"CO",1541,"N61304",63,54,29,9,0,"IAH","AUS",140,6,28,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1435,1400,1619,1555,"OO",2932,"N507CA",104,115,88,24,35,"MCI","AUS",650,4,12,0,"",0,24,0,0,0,0
2008,1,1,2,1440,1345,1532,1445,"AA",1587,"N589AA",52,60,38,47,55,"DFW","AUS",190,3,11,0,"",0,20,0,0,0,27
2008,1,1,2,1441,1445,1600,1607,"XE",81,"N11194",79,82,66,-7,-4,"AUS","TUL",426,4,9,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1443,1353,1752,1658,"OO",5986,"N705SK",129,125,92,54,50,"DEN","AUS",775,4,33,0,"",0,0,0,0,0,54
2008,1,1,2,1445,1420,1739,1710,"WN",160,"N427WN",234,230,225,29,25,"BWI","AUS",1342,3,6,0,"",0,25,0,4,0,0
2008,1,1,2,1448,1450,1540,1545,"WN",1105,"N614SW",52,55,38,-5,-2,"AUS","DAL",189,3,11,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1451,1335,1645,1530,"9E",5742,"83909E",114,115,92,75,76,"MEM","AUS",559,5,17,0,"",0,75,0,0,0,0
2008,1,1,2,1454,1435,1613,1550,"WN",2124,"N364SW",139,135,125,23,19,"AUS","DEN",775,6,8,0,"",0,1,0,4,0,18
2008,1,1,2,1455,1455,1617,1612,"XE",224,"N14186",82,77,53,5,0,"OKC","AUS",358,4,25,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1505,1500,1541,1545,"WN",2840,"N358SW",36,45,28,-4,5,"HOU","AUS",148,2,6,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1509,1510,1814,1828,"OO",3906,"N806SK",125,138,102,-14,-1,"AUS","ATL",813,7,16,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1516,1520,1700,1654,"US",644,"N155AW",164,154,129,6,-4,"AUS","PHX",872,6,29,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1520,1520,1626,1620,"AA",559,"N201AA",66,60,38,6,0,"DFW","AUS",190,6,22,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1521,1520,1606,1610,"WN",1292,"N523SW",45,50,34,-4,1,"DAL","AUS",189,3,8,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1524,1519,1625,1624,"CO",1706,"N59630",61,65,31,1,5,"AUS","IAH",140,17,13,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1534,1535,1838,1850,"WN",304,"N638SW",124,135,110,-12,-1,"AUS","TPA",928,5,9,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1536,1530,1631,1640,"WN",1885,"N688SW",175,190,163,-9,6,"AUS","SAN",1164,2,10,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1536,1525,2012,2005,"WN",2719,"N275WN",156,160,140,7,11,"SAN","AUS",1164,5,11,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1545,1545,1636,1640,"WN",1417,"N527SW",51,55,39,-4,0,"AUS","DAL",189,3,9,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1549,1520,1711,1655,"WN",700,"N661SW",142,155,131,16,29,"AUS","PHX",872,3,8,0,"",0,2,0,0,0,14
2008,1,1,2,1550,1528,1928,1900,"OH",5026,"N709CA",158,152,139,28,22,"AUS","CVG",958,6,13,0,"",0,0,22,6,0,0
2008,1,1,2,1550,1555,1706,1723,"XE",80,"N11193",76,88,62,-17,-5,"TUL","AUS",426,6,8,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1603,1545,1702,1640,"CO",341,"N14337",59,55,30,22,18,"IAH","AUS",140,3,26,0,"",0,0,0,4,0,18
2008,1,1,2,1604,1605,1717,1705,"CO",1602,"N61304",73,60,35,12,-1,"AUS","IAH",140,8,30,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1606,1550,1657,1645,"MQ",3374,"N655AE",51,55,40,12,16,"AUS","DAL",189,2,9,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1606,1600,1902,1910,"WN",112,"N215WN",116,130,104,-8,6,"PHX","AUS",872,4,8,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1610,1600,1900,1840,"AA",346,"N580AA",170,160,139,20,10,"AUS","ORD",978,16,15,0,"",0,0,0,20,0,0
2008,1,1,2,1611,1402,1800,1534,"DL",615,"N977DL",169,152,150,146,129,"ATL","AUS",813,10,9,0,"",0,129,0,17,0,0
2008,1,1,2,1613,1615,1739,1754,"EV",4315,"N718EV",146,159,126,-15,-2,"ATL","AUS",813,6,14,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1617,1615,1651,1655,"WN",2840,"N358SW",94,100,79,-4,2,"AUS","ELP",528,5,10,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1620,1610,1707,1705,"MQ",3375,"N681AE",47,55,33,2,10,"DAL","AUS",189,4,10,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1621,1624,1922,1940,"YV",2889,"N925FJ",121,136,104,-18,-3,"PHX","AUS",872,4,13,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1623,1505,1752,1650,"AA",1023,"N589AA",209,225,195,62,78,"AUS","SJC",1476,2,12,0,"",0,25,0,0,0,37
2008,1,1,2,1623,1603,1920,1907,"F9",218,"N812FR",117,124,97,13,20,"DEN","AUS",775,5,15,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1630,1630,1723,1730,"AA",1215,"N3APAA",53,60,35,-7,0,"DFW","AUS",190,5,13,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1634,1635,1734,1740,"WN",1292,"N523SW",60,65,47,-6,-1,"AUS","MAF",294,5,8,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1637,1635,1854,1900,"WN",330,"N789SW",77,85,68,-6,2,"ELP","AUS",528,4,5,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1653,1655,1755,1816,"XE",224,"N14186",182,201,162,-21,-2,"AUS","ONT",1197,7,13,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1654,1640,1742,1735,"WN",900,"N404WN",48,55,38,7,14,"AUS","DAL",189,2,8,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1655,1705,1847,1905,"AA",1646,"N4XMAA",112,120,102,-18,-10,"AUS","STL",722,2,8,0,"",0,NA,NA,NA,NA,NA
2008,1,1,2,1700,1630,1850,1820,"OO",2933,"N507CA",110,110,101,30,30,"AUS","MCI",650,7,2,0,"",0,30,0,0,0,0
